商场名,地址,
麦德龙,上海虹口商场,上海市虹口区广粤路418号 
麦德龙,上海嘉定商场,嘉定区宝安公路3718号(近永盛路) 
麦德龙,上海金山商场,上海市金山区城河路330号2栋1楼 
麦德龙,上海闵行商场,上海市闵行区顾戴路80号 
麦德龙,上海浦东商场,上海市浦东新区花木镇白杨路383号 
麦德龙,上海普陀商场,上海市普陀区真北路1425号 
麦德龙,上海松江商场,上海市松江区光星路1399号 
麦德龙,上海青浦商场,上海市青浦区崧文南路177号 
家乐福,上海宝山店,上海市共江路1208号
家乐福,上海曹路店,上海市青浦区淀山湖大道212号吾悦广场地下一层
家乐福,上海成山路店,上海市浦东新区成山路1111号
家乐福,上海川沙店,上海市浦东新区妙境路1118号
家乐福,上海大场店,上海市宝山区场中路4048号
家乐福,上海古北店,上海市水城南路268号
家乐福,上海虹口店,上海市虹口区西江湾路388号
家乐福,上海金桥店,上海市浦东新区金桥碧云路555号
家乐福,上海巨峰店,上海市浦东新区芳甸路185号
家乐福,上海南方店,上海市闵行区沪闵路7388号
家乐福,上海南翔店,上海市嘉定区丰翔路3168号
家乐福,上海浦江店,上海市闵行区七莘路3655号
家乐福,上海青浦公园店,上海市青浦区公园东路1289弄2号
家乐福,上海曲阳店,上海市曲阳路560号
家乐福,上海荣乐店,上海市金沙江西路1075弄17号
家乐福,上海万里店,上海市新村路1500号
家乐福,上海武宁店,上海市武宁路20号
家乐福,上海莘庄店,上海市闵行区都市路5001号
家乐福,上海新南店,上海市松江区新桥镇新南路959号
家乐福,上海徐汇店,上海市徐汇区斜土路1995号
家乐福,上海徐泾店,上海市浦东新区高科中路2860号
家乐福,上海真北店,上海市普陀区桃浦路328号
家乐福,上海中山公园店,上海市长宁区长宁路1018号，地下一层，二层
沃尔玛,沃尔玛购物广场上海南浦大桥店,浦东新区临沂北路252-262号由由-沃尔玛购物广场地上一层和地上二层
沃尔玛,沃尔玛购物广场上海五角场分店,上海市杨浦区淞沪路125号
沃尔玛,沃尔玛购物广场上海江桥分店,上海市嘉定区江桥镇曹安公路2200号嘉莲华购物广场地上二、三层
沃尔玛,沃尔玛购物广场上海松江松汇路分店,上海市松江区松汇中路568号三楼
沃尔玛,沃尔玛购物广场上海高行分店,上海市浦东新区东靖路1881号万嘉商业广场地上第二、三层
沃尔玛,沃尔玛购物广场上海桃浦分店,上海市普陀区桃浦镇武威路1178号白丽生活广场B1层
沃尔玛,沃尔玛购物广场上海三林分店,上海市浦东新区东明路2766号三林城市商业广场地下第一层
沃尔玛,沃尔玛购物广场上海顾村分店,上海市宝山区沪太路4929号
沃尔玛,沃尔玛购物广场上海杨行分店,上海市宝山区水产路2599号
沃尔玛,沃尔玛购物广场上海宝山一二八纪念路分店,宝山区一二八纪念路988弄2号地下一层
沃尔玛,上海施湾分店,上海市浦东新区祝桥镇施镇路施镇路256弄1号
沃尔玛,沃尔玛购物广场上海上南店,"上海浦东 
        沃尔玛购物广场超市有限公司"
沃尔玛,沃尔玛购物广场上海田林分店,上海市徐汇区上海市徐汇区桂林路402号74幢
沃尔玛,沃尔玛购物广场上海甘泉店,上海市普陀区平利路18号
沃尔玛,沃尔玛购物广场上海凌云分店,上海室徐汇区老沪闵路809号
沃尔玛,沃尔玛购物广场上海祁连山店,上海市宝山区聚丰园路205号
沃尔玛,沃尔玛购物广场上海虹桥店,上海市闵行区虹中路535号
沃尔玛,上海浦东高科西路山姆会员商店,上海市浦东新区高科西路2110号
大润发,上海市 - 闸北店,上海市闸北区共和新路3318号
大润发,上海市 - 杨浦店,上海市杨浦区黄兴路1618号
大润发,上海市 - 大华店,上海市华灵路1051号
大润发,上海市 - 松江店,上海市松江区荣乐中路552-652号
大润发,上海市 - 春申店,上海市闵行区春申路2801号
大润发,上海市 - 康桥店,上海市浦东新区康桥镇秀沿路1132-1180号
大润发,上海市 - 大宁店,上海市闸北区共和新路2008号
大润发,上海市 - 奉贤店,上海市奉贤区南桥镇南亭公路601号
大润发,上海市 - 曹安店,上海市嘉定区新郁路807号
大润发,上海市 - 平型关店,上海市闸北区俞泾港路1号
大润发,上海市 - 三林店,上海市浦东新区长清路1200弄1号
大润发,上海市 - 泗泾店,上海市松江区泗泾镇横港路18弄68号
大润发,上海市 - 华漕店,上海市闵行区华漕镇繁兴路399弄2号
大润发,上海市 - 安亭店,上海市嘉定区墨玉南路1099号
大润发,上海市 - 泥城店,上海市浦东新区南芦公路1757号
大润发,上海市 - 美兰湖店,上海市宝山区月罗路2380号
大润发,上海市 - 南翔店,上海市沪宜公路1030弄1号（原沪宜公路1000号）
